!	{"ud.punct": 1.0}
!!	{"ud.punct": 1.0}
!!!	{"ud.punct": 1.0}
!!!!	{"ud.punct": 1.0}
!!!!!	{"ud.punct": 1.0}
!!!!!!	{"ud.punct": 1.0}
!!!!!!!	{"ud.punct": 1.0}
!?	{"ud.punct": 1.0}
"	{"ud.punct": 0.9969135802469136, "ud.noun": 0.0030864197530864196}
madrid	{"ud.propn": 1.0}
magazine	{"ud.noun": 0.75, "ud.propn": 0.25}
magic	{"ud.noun": 0.875, "ud.propn": 0.125}
magnitude	{"ud.noun": 1.0}
mail	{"ud.noun": 0.7894736842105263, "ud.verb": 0.21052631578947367}
mailing	{"ud.verb": 0.25, "ud.noun": 0.75}
mailings	{"ud.noun": 1.0}
main	{"ud.adj": 0.9666666666666667, "ud.propn": 0.03333333333333333}
mainly	{"ud.adv": 1.0}
mainstream	{"ud.adj": 0.8, "ud.noun": 0.2}
maintain	{"ud.verb": 1.0}
maintained	{"ud.verb": 1.0}
maintaining	{"ud.verb": 1.0}
maintenance	{"ud.noun": 1.0}
major	{"ud.adj": 1.0}
majority	{"ud.noun": 1.0}
make	{"ud.verb": 1.0}
makes	{"ud.verb": 1.0}
making	{"ud.noun": 0.10204081632653061, "ud.verb": 0.8979591836734694}
malaysia	{"ud.propn": 1.0}
malaysian	{"ud.adj": 1.0}
male	{"ud.noun": 0.75, "ud.adj": 0.25}
males	{"ud.noun": 0.8, "ud.verb": 0.2}
mama	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
man	{"ud.noun": 1.0}
manage	{"ud.verb": 1.0}
managed	{"ud.verb": 1.0}
management	{"ud.noun": 0.9655172413793104, "ud.propn": 0.034482758620689655}
manager	{"ud.noun": 1.0}
managers	{"ud.noun": 1.0}
mankind	{"ud.noun": 1.0}
mann	{"ud.propn": 1.0}
manned	{"ud.adj": 1.0}
manner	{"ud.noun": 1.0}
manners	{"ud.noun": 1.0}
manson	{"ud.propn": 1.0}
mantra	{"ud.noun": 1.0}
manual	{"ud.noun": 0.4444444444444444, "ud.adj": 0.5555555555555556}
manufacturer	{"ud.noun": 1.0}
many	{"ud.adj": 0.9836956521739131, "ud.noun": 0.005434782608695652, "ud.det": 0.010869565217391304}
map	{"ud.noun": 1.0}
mar	{"ud.propn": 1.0}
march	{"ud.propn": 1.0}
mare	{"ud.noun": 1.0}
marianne	{"ud.propn": 0.75, "ud.x": 0.25}
marie	{"ud.propn": 1.0}
mariner	{"ud.propn": 1.0}
mark	{"ud.noun": 0.20408163265306123, "ud.propn": 0.673469387755102, "ud.verb": 0.10204081632653061, "ud.x": 0.02040816326530612}
marked	{"ud.verb": 1.0}
market	{"ud.noun": 0.9534883720930233, "ud.propn": 0.046511627906976744}
marketers	{"ud.noun": 1.0}
marketing	{"ud.noun": 0.5, "ud.propn": 0.5}
markets	{"ud.noun": 0.875, "ud.propn": 0.125}
marks	{"ud.noun": 0.6666666666666666, "ud.verb": 0.3333333333333333}
marriage	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
marriages	{"ud.noun": 1.0}
married	{"ud.verb": 0.5714285714285714, "ud.adj": 0.42857142857142855}
marry	{"ud.verb": 1.0}
mars	{"ud.propn": 1.0}
marshall	{"ud.propn": 1.0}
mart	{"ud.propn": 1.0}
martin	{"ud.propn": 1.0}
martyrs	{"ud.noun": 0.8, "ud.propn": 0.2}
marvelous	{"ud.adj": 1.0}
mary	{"ud.propn": 0.7857142857142857, "ud.noun": 0.21428571428571427}
mass	{"ud.adj": 1.0}
massive	{"ud.adj": 1.0}
master	{"ud.noun": 0.9411764705882353, "ud.x": 0.058823529411764705}
match	{"ud.noun": 0.75, "ud.verb": 0.25}
matching	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
mate	{"ud.noun": 0.42857142857142855, "ud.verb": 0.5714285714285714}
material	{"ud.noun": 0.8571428571428571, "ud.adj": 0.14285714285714285}
materials	{"ud.noun": 1.0}
matter	{"ud.noun": 0.5454545454545454, "ud.verb": 0.2727272727272727, "ud.adv": 0.18181818181818182}
matters	{"ud.verb": 0.375, "ud.noun": 0.625}
mature	{"ud.adj": 0.6666666666666666, "ud.verb": 0.3333333333333333}
maviglio	{"ud.propn": 1.0}
max	{"ud.propn": 0.5714285714285714, "ud.noun": 0.2857142857142857, "ud.adj": 0.14285714285714285}
maximum	{"ud.adj": 0.75, "ud.noun": 0.25}
may	{"ud.aux": 0.7782426778242678, "ud.propn": 0.2217573221757322}
maybe	{"ud.adv": 1.0}
mayko	{"ud.propn": 1.0}
mayor	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
mba	{"ud.noun": 1.0}
mccartney	{"ud.propn": 1.0}
mcdonald	{"ud.propn": 1.0}
mcginnis	{"ud.propn": 1.0}
me	{"ud.pron": 1.0}
meal	{"ud.noun": 0.9411764705882353, "ud.adj": 0.058823529411764705}
meals	{"ud.noun": 1.0}
mean	{"ud.verb": 0.9210526315789473, "ud.noun": 0.02631578947368421, "ud.adj": 0.02631578947368421, "ud.x": 0.02631578947368421}
meaning	{"ud.verb": 0.5, "ud.noun": 0.5}
means	{"ud.noun": 0.23404255319148937, "ud.verb": 0.7659574468085106}
meant	{"ud.verb": 1.0}
meantime	{"ud.noun": 1.0}
meanwhile	{"ud.adv": 0.8571428571428571, "ud.noun": 0.14285714285714285}
measure	{"ud.noun": 0.6, "ud.verb": 0.4}
measures	{"ud.noun": 1.0}
meat	{"ud.noun": 1.0}
mechanic	{"ud.adj": 0.2857142857142857, "ud.noun": 0.7142857142857143}
mechanics	{"ud.noun": 1.0}
mechanism	{"ud.noun": 1.0}
medal	{"ud.noun": 0.6, "ud.propn": 0.4}
media	{"ud.noun": 1.0}
medical	{"ud.adj": 0.6875, "ud.propn": 0.3125}
medicine	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
meditation	{"ud.propn": 0.25, "ud.noun": 0.75}
medium	{"ud.noun": 0.5714285714285714, "ud.adj": 0.42857142857142855}
meet	{"ud.verb": 1.0}
meeting	{"ud.noun": 0.8611111111111112, "ud.verb": 0.1388888888888889}
meetings	{"ud.noun": 1.0}
megawatt	{"ud.noun": 1.0}
meh-risk	{"ud.x": 1.0}
meiring	{"ud.propn": 1.0}
melt	{"ud.verb": 1.0}
melting	{"ud.verb": 0.4, "ud.noun": 0.6}
member	{"ud.noun": 1.0}
members	{"ud.noun": 1.0}
membership	{"ud.noun": 1.0}
memo	{"ud.noun": 1.0}
memorable	{"ud.adj": 1.0}
memory	{"ud.noun": 1.0}
men	{"ud.noun": 1.0}
mental	{"ud.adj": 1.0}
mention	{"ud.verb": 1.0}
mentioned	{"ud.verb": 0.9354838709677419, "ud.x": 0.06451612903225806}
menu	{"ud.noun": 1.0}
meowing	{"ud.noun": 0.25, "ud.verb": 0.75}
merchant	{"ud.noun": 1.0}
merchanting	{"ud.propn": 1.0}
mere	{"ud.adj": 1.0}
merely	{"ud.adv": 1.0}
merit	{"ud.noun": 1.0}
mess	{"ud.noun": 1.0}
message	{"ud.noun": 1.0}
messages	{"ud.noun": 1.0}
messed	{"ud.verb": 1.0}
messy	{"ud.adj": 1.0}
met	{"ud.verb": 1.0}
metal	{"ud.noun": 0.9354838709677419, "ud.propn": 0.03225806451612903, "ud.adj": 0.03225806451612903}
metals	{"ud.propn": 1.0}
meter	{"ud.noun": 1.0}
metering	{"ud.noun": 1.0}
method	{"ud.noun": 1.0}
methods	{"ud.noun": 1.0}
meticulous	{"ud.adj": 1.0}
metro	{"ud.adj": 0.16666666666666666, "ud.noun": 0.08333333333333333, "ud.propn": 0.75}
mexican	{"ud.adj": 1.0}
mexico	{"ud.propn": 1.0}
mezza	{"ud.noun": 1.0}
mhc	{"ud.propn": 1.0}
miami	{"ud.propn": 1.0}
mice	{"ud.noun": 1.0}
michael	{"ud.propn": 1.0}
michele	{"ud.propn": 1.0}
michelle	{"ud.propn": 0.9333333333333333, "ud.x": 0.06666666666666667}
microsoft	{"ud.propn": 1.0}
mid	{"ud.x": 0.9, "ud.adj": 0.1}
midas	{"ud.propn": 1.0}
middle	{"ud.adj": 0.20833333333333334, "ud.propn": 0.4166666666666667, "ud.noun": 0.375}
midst	{"ud.noun": 1.0}
midterms	{"ud.noun": 1.0}
might	{"ud.aux": 1.0}
migrant	{"ud.noun": 1.0}
mike	{"ud.propn": 0.9722222222222222, "ud.x": 0.027777777777777776}
mild	{"ud.adj": 1.0}
mile	{"ud.noun": 1.0}
miles	{"ud.noun": 1.0}
militant	{"ud.adj": 1.0}
militants	{"ud.noun": 1.0}
military	{"ud.adj": 0.6712328767123288, "ud.noun": 0.3150684931506849, "ud.propn": 0.0136986301369863}
militias	{"ud.noun": 1.0}
milk	{"ud.noun": 1.0}
miller	{"ud.propn": 1.0}
million	{"ud.num": 0.9696969696969697, "ud.noun": 0.030303030303030304}
millions	{"ud.noun": 1.0}
mind	{"ud.noun": 0.875, "ud.intj": 0.020833333333333332, "ud.verb": 0.10416666666666667}
mine	{"ud.pron": 0.9, "ud.noun": 0.1}
minerals	{"ud.noun": 1.0}
mines	{"ud.noun": 0.6666666666666666, "ud.pron": 0.3333333333333333}
minimal	{"ud.adj": 1.0}
minimum	{"ud.noun": 0.5714285714285714, "ud.adj": 0.42857142857142855}
minister	{"ud.noun": 0.5384615384615384, "ud.propn": 0.46153846153846156}
ministry	{"ud.propn": 1.0}
minor	{"ud.adj": 1.0}
mins	{"ud.noun": 1.0}
minute	{"ud.noun": 1.0}
minutes	{"ud.propn": 0.022727272727272728, "ud.noun": 0.9772727272727273}
miracle	{"ud.propn": 0.5, "ud.noun": 0.5}
miss	{"ud.verb": 1.0}
missed	{"ud.verb": 1.0}
missile	{"ud.noun": 1.0}
missiles	{"ud.noun": 1.0}
missing	{"ud.adj": 0.4, "ud.verb": 0.6}
mission	{"ud.noun": 0.9, "ud.propn": 0.1}
mississippi	{"ud.propn": 1.0}
mistake	{"ud.noun": 1.0}
mixed	{"ud.verb": 0.7777777777777778, "ud.adj": 0.2222222222222222}
mkm	{"ud.propn": 1.0}
mm	{"ud.num": 0.3333333333333333, "ud.noun": 0.5, "ud.intj": 0.16666666666666666}
mma	{"ud.propn": 0.6666666666666666, "ud.noun": 0.3333333333333333}
mmbtu	{"ud.noun": 1.0}
mobile	{"ud.adj": 1.0}
mod	{"ud.noun": 0.25, "ud.propn": 0.5, "ud.adj": 0.25}
model	{"ud.noun": 1.0}
modeling	{"ud.verb": 0.3333333333333333, "ud.noun": 0.6666666666666666}
models	{"ud.noun": 1.0}
modem	{"ud.noun": 1.0}
moderate	{"ud.adj": 0.8571428571428571, "ud.verb": 0.14285714285714285}
modern	{"ud.adj": 0.9411764705882353, "ud.propn": 0.058823529411764705}
modified	{"ud.verb": 1.0}
mohammed	{"ud.propn": 1.0}
mohawk	{"ud.propn": 1.0}
mold	{"ud.noun": 1.0}
moldovan	{"ud.adj": 1.0}
molly	{"ud.propn": 1.0}
mom	{"ud.propn": 0.14285714285714285, "ud.noun": 0.8571428571428571}
moment	{"ud.noun": 1.0}
monday	{"ud.propn": 0.9777777777777777, "ud.noun": 0.022222222222222223}
money	{"ud.noun": 1.0}
monitor	{"ud.verb": 1.0}
monopoly	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
montgomery	{"ud.propn": 1.0}
month	{"ud.noun": 1.0}
monthly	{"ud.adj": 1.0}
months	{"ud.noun": 1.0}
montparnasse	{"ud.propn": 1.0}
monumental	{"ud.adj": 1.0}
moon	{"ud.noun": 0.875, "ud.propn": 0.125}
moore	{"ud.propn": 1.0}
moors	{"ud.noun": 1.0}
mop	{"ud.noun": 1.0}
moral	{"ud.adj": 0.8571428571428571, "ud.propn": 0.14285714285714285}
morality	{"ud.noun": 1.0}
more	{"ud.adv": 0.44654088050314467, "ud.adj": 0.5534591194968553}
morning	{"ud.noun": 0.9761904761904762, "ud.propn": 0.023809523809523808}
moro	{"ud.propn": 1.0}
moslem	{"ud.adj": 1.0}
moslems	{"ud.propn": 1.0}
mosques	{"ud.noun": 1.0}
most	{"ud.adj": 0.41496598639455784, "ud.adv": 0.5782312925170068, "ud.aux": 0.006802721088435374}
mostly	{"ud.adv": 1.0}
mosul	{"ud.propn": 1.0}
motel	{"ud.noun": 1.0}
mother	{"ud.noun": 1.0}
mothers	{"ud.noun": 1.0}
motion	{"ud.noun": 1.0}
motive	{"ud.noun": 1.0}
motor	{"ud.noun": 0.8, "ud.propn": 0.2}
mount	{"ud.verb": 0.75, "ud.propn": 0.25}
mountain	{"ud.noun": 0.75, "ud.propn": 0.25}
mountains	{"ud.propn": 0.125, "ud.noun": 0.875}
mounting	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
mouse	{"ud.noun": 1.0}
moussaoui	{"ud.propn": 1.0}
mouth	{"ud.noun": 1.0}
move	{"ud.noun": 0.2972972972972973, "ud.verb": 0.7027027027027027}
moved	{"ud.verb": 1.0}
movement	{"ud.noun": 0.8888888888888888, "ud.propn": 0.1111111111111111}
movements	{"ud.noun": 1.0}
moves	{"ud.verb": 0.3333333333333333, "ud.noun": 0.6666666666666666}
movie	{"ud.noun": 1.0}
movies	{"ud.noun": 1.0}
moving	{"ud.verb": 0.8928571428571429, "ud.noun": 0.10714285714285714}
mr.	{"ud.propn": 1.0}
ms.	{"ud.propn": 1.0}
mtm	{"ud.propn": 0.6666666666666666, "ud.noun": 0.3333333333333333}
much	{"ud.adv": 0.48295454545454547, "ud.adj": 0.5113636363636364, "ud.noun": 0.005681818181818182}
mujahedeen	{"ud.propn": 1.0}
mullah	{"ud.propn": 0.75, "ud.noun": 0.25}
multiple	{"ud.adj": 1.0}
muni	{"ud.propn": 0.75, "ud.noun": 0.25}
murder	{"ud.noun": 0.9375, "ud.verb": 0.0625}
murdered	{"ud.verb": 1.0}
murderer	{"ud.noun": 1.0}
murderers	{"ud.noun": 1.0}
murders	{"ud.noun": 1.0}
murfreesboro	{"ud.propn": 1.0}
murillo	{"ud.propn": 1.0}
murph	{"ud.propn": 1.0}
murphy	{"ud.propn": 1.0}
muscle	{"ud.noun": 1.0}
muscles	{"ud.noun": 1.0}
musharraf	{"ud.propn": 1.0}
music	{"ud.noun": 1.0}
musical	{"ud.noun": 0.3333333333333333, "ud.adj": 0.6666666666666666}
musicians	{"ud.noun": 1.0}
muslim	{"ud.propn": 0.25, "ud.adj": 0.75}
muslims	{"ud.propn": 1.0}
must	{"ud.aux": 1.0}
mutual	{"ud.adj": 1.0}
my	{"ud.pron": 0.9944506104328524, "ud.intj": 0.0022197558268590455, "ud.x": 0.0022197558268590455, "ud.propn": 0.0011098779134295228}
myanmar	{"ud.propn": 1.0}
myself	{"ud.pron": 1.0}
mystery	{"ud.noun": 1.0}
n	{"ud.propn": 0.7, "ud.cconj": 0.1, "ud.noun": 0.1, "ud.part": 0.1}
n't	{"ud.part": 1.0}
na	{"ud.part": 1.0}
nadu	{"ud.propn": 1.0}
naha	{"ud.propn": 1.0}
nail	{"ud.noun": 1.0}
nails	{"ud.noun": 0.7777777777777778, "ud.propn": 0.2222222222222222}
naked	{"ud.adj": 1.0}
nam	{"ud.noun": 1.0}
name	{"ud.verb": 0.08333333333333333, "ud.noun": 0.9166666666666666}
named	{"ud.verb": 1.0}
names	{"ud.noun": 1.0}
nancy	{"ud.propn": 1.0}
nano	{"ud.noun": 0.75, "ud.propn": 0.25}
narrow	{"ud.adj": 1.0}
narrowed	{"ud.verb": 1.0}
nasa	{"ud.propn": 1.0}
nashville	{"ud.propn": 1.0}
nasim	{"ud.x": 0.6666666666666666, "ud.propn": 0.3333333333333333}
nation	{"ud.noun": 0.9411764705882353, "ud.propn": 0.058823529411764705}
national	{"ud.propn": 0.7241379310344828, "ud.adj": 0.27586206896551724}
nations	{"ud.propn": 0.4, "ud.noun": 0.6}
native	{"ud.noun": 0.3333333333333333, "ud.adj": 0.6666666666666666}
nato	{"ud.propn": 1.0}
natural	{"ud.propn": 0.06060606060606061, "ud.adj": 0.9393939393939394}
nature	{"ud.noun": 1.0}
naval	{"ud.propn": 0.375, "ud.adj": 0.625}
navy	{"ud.noun": 0.875, "ud.propn": 0.125}
nazi	{"ud.propn": 1.0}
neal	{"ud.propn": 1.0}
near	{"ud.adp": 0.7142857142857143, "ud.adj": 0.14285714285714285, "ud.adv": 0.10714285714285714, "ud.sconj": 0.03571428571428571}
nearby	{"ud.adj": 0.3333333333333333, "ud.adv": 0.6666666666666666}
nearest	{"ud.adj": 1.0}
nearly	{"ud.adv": 1.0}
neatly	{"ud.adv": 1.0}
necessarily	{"ud.adv": 1.0}
necessary	{"ud.adj": 1.0}
neck	{"ud.noun": 1.0}
need	{"ud.verb": 0.9473684210526315, "ud.noun": 0.05263157894736842}
needed	{"ud.verb": 1.0}
needing	{"ud.verb": 1.0}
needs	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
negative	{"ud.adj": 0.5714285714285714, "ud.noun": 0.42857142857142855}
negotiated	{"ud.verb": 1.0}
negotiating	{"ud.noun": 0.25, "ud.verb": 0.75}
neighbor	{"ud.noun": 1.0}
neighborhood	{"ud.noun": 0.875, "ud.propn": 0.125}
neighboring	{"ud.verb": 1.0}
neighbors	{"ud.noun": 1.0}
neighbourhood	{"ud.noun": 1.0}
neighbours	{"ud.noun": 1.0}
neil	{"ud.propn": 1.0}
neither	{"ud.cconj": 0.6666666666666666, "ud.det": 0.3333333333333333}
nelson	{"ud.propn": 1.0}
nepco	{"ud.propn": 1.0}
nephew	{"ud.noun": 1.0}
nerve	{"ud.noun": 0.6666666666666666, "ud.adj": 0.3333333333333333}
nervous	{"ud.adj": 1.0}
nest	{"ud.noun": 1.0}
net	{"ud.propn": 0.3, "ud.noun": 0.45, "ud.adj": 0.25}
netherlands	{"ud.propn": 1.0}
network	{"ud.noun": 0.6875, "ud.propn": 0.3125}
networks	{"ud.noun": 0.7142857142857143, "ud.propn": 0.2857142857142857}
neurological	{"ud.adj": 1.0}
never	{"ud.adv": 0.9933774834437086, "ud.intj": 0.006622516556291391}
new	{"ud.adj": 0.7214285714285714, "ud.propn": 0.26071428571428573, "ud.noun": 0.007142857142857143, "ud.verb": 0.010714285714285714}
newborn	{"ud.adj": 0.6666666666666666, "ud.noun": 0.3333333333333333}
newer	{"ud.adj": 1.0}
newly	{"ud.adv": 1.0}
news	{"ud.noun": 0.918918918918919, "ud.propn": 0.08108108108108109}
newspaper	{"ud.noun": 1.0}
newspapers	{"ud.noun": 1.0}
newsweek	{"ud.propn": 1.0}
next	{"ud.adj": 0.8715596330275229, "ud.adv": 0.10091743119266056, "ud.adp": 0.027522935779816515}
nguyen	{"ud.propn": 1.0}
niagara	{"ud.propn": 1.0}
nice	{"ud.adj": 0.9090909090909091, "ud.propn": 0.06493506493506493, "ud.adv": 0.012987012987012988, "ud.noun": 0.012987012987012988}
nicer	{"ud.adj": 1.0}
nicest	{"ud.adj": 1.0}
nick	{"ud.propn": 1.0}
nicki	{"ud.propn": 1.0}
nicobar	{"ud.propn": 1.0}
night	{"ud.noun": 1.0}
nightmare	{"ud.noun": 1.0}
nights	{"ud.noun": 1.0}
nikon	{"ud.propn": 1.0}
nine	{"ud.num": 1.0}
nixon	{"ud.propn": 1.0}
nj	{"ud.propn": 1.0}
nmemdrft8-7-01	{"ud.x": 1.0}
no	{"ud.det": 0.7746031746031746, "ud.adv": 0.08888888888888889, "ud.intj": 0.12698412698412698, "ud.x": 0.0031746031746031746, "ud.noun": 0.0031746031746031746, "ud.verb": 0.0031746031746031746}
no.	{"ud.noun": 0.8571428571428571, "ud.propn": 0.14285714285714285}
noble	{"ud.adj": 0.3333333333333333, "ud.propn": 0.6666666666666666}
nobody	{"ud.pron": 1.0}
noel	{"ud.propn": 1.0}
noise	{"ud.noun": 0.8888888888888888, "ud.adv": 0.1111111111111111}
nomination	{"ud.noun": 1.0}
non	{"ud.x": 0.8333333333333334, "ud.noun": 0.16666666666666666}
non-bondad	{"ud.noun": 1.0}
non-commercial	{"ud.adj": 1.0}
none	{"ud.noun": 1.0}
nook	{"ud.propn": 1.0}
noon	{"ud.noun": 1.0}
nope	{"ud.intj": 1.0}
nor	{"ud.cconj": 1.0}
normal	{"ud.adj": 0.9411764705882353, "ud.noun": 0.058823529411764705}
normally	{"ud.adv": 1.0}
north	{"ud.noun": 0.125, "ud.propn": 0.75, "ud.adv": 0.075, "ud.adj": 0.05}
northeastern	{"ud.adj": 1.0}
northern	{"ud.propn": 0.29411764705882354, "ud.adj": 0.7058823529411765}
northwest	{"ud.propn": 0.2, "ud.noun": 0.4, "ud.adj": 0.4}
norway	{"ud.propn": 1.0}
norwegian	{"ud.adj": 1.0}
nose	{"ud.noun": 1.0}
not	{"ud.part": 0.8331735378715245, "ud.adv": 0.15340364333652926, "ud.cconj": 0.013422818791946308}
notch	{"ud.noun": 1.0}
note	{"ud.noun": 0.625, "ud.verb": 0.375}
noted	{"ud.verb": 1.0}
notepad	{"ud.noun": 1.0}
notes	{"ud.verb": 0.16666666666666666, "ud.noun": 0.6666666666666666, "ud.propn": 0.16666666666666666}
nothing	{"ud.pron": 0.9859154929577465, "ud.propn": 0.014084507042253521}
notice	{"ud.verb": 0.45161290322580644, "ud.noun": 0.5161290322580645, "ud.propn": 0.03225806451612903}
noticed	{"ud.verb": 1.0}
notification	{"ud.noun": 1.0}
notified	{"ud.verb": 1.0}
notify	{"ud.verb": 1.0}
notional	{"ud.adj": 1.0}
nov	{"ud.propn": 1.0}
nov.	{"ud.propn": 1.0}
november	{"ud.propn": 1.0}
now	{"ud.adv": 1.0}
nowhere	{"ud.adv": 1.0}
nt	{"ud.part": 1.0}
nuclear	{"ud.adj": 1.0}
number	{"ud.noun": 0.9888268156424581, "ud.propn": 0.0111731843575419}
numbers	{"ud.noun": 1.0}
numerous	{"ud.adj": 1.0}
nutritional	{"ud.adj": 1.0}
nw	{"ud.propn": 1.0}
ny	{"ud.propn": 1.0}
nyc	{"ud.propn": 1.0}
nymex	{"ud.propn": 1.0}
n’t	{"ud.part": 1.0}
o	{"ud.adp": 0.7142857142857143, "ud.intj": 0.14285714285714285, "ud.x": 0.14285714285714285}
oasis	{"ud.propn": 1.0}
object	{"ud.noun": 0.75, "ud.verb": 0.25}
objections	{"ud.noun": 1.0}
obligated	{"ud.verb": 0.6666666666666666, "ud.adj": 0.3333333333333333}
obligation	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
observed	{"ud.verb": 1.0}
observers	{"ud.noun": 1.0}
obsf	{"ud.noun": 1.0}
obtain	{"ud.verb": 1.0}
obtained	{"ud.verb": 1.0}
obvious	{"ud.adj": 1.0}
obviously	{"ud.adv": 1.0}
occasion	{"ud.noun": 1.0}
occasionally	{"ud.adv": 1.0}
occasions	{"ud.noun": 1.0}
occupation	{"ud.noun": 1.0}
occur	{"ud.verb": 1.0}
occurred	{"ud.verb": 1.0}
ocean	{"ud.noun": 0.3333333333333333, "ud.propn": 0.6666666666666666}
oct	{"ud.x": 0.42857142857142855, "ud.propn": 0.5714285714285714}
oct.	{"ud.propn": 1.0}
october	{"ud.propn": 1.0}
odd	{"ud.adj": 1.0}
of	{"ud.adp": 0.9516841524019879, "ud.sconj": 0.03754831584759801, "ud.adv": 0.00966316951960243, "ud.cconj": 0.0002760905577029266, "ud.aux": 0.0008282716731087797}
off	{"ud.adp": 0.8110236220472441, "ud.adv": 0.12598425196850394, "ud.noun": 0.03937007874015748, "ud.adj": 0.023622047244094488}
offended	{"ud.verb": 0.3333333333333333, "ud.adj": 0.6666666666666666}
offensive	{"ud.noun": 0.3333333333333333, "ud.adj": 0.3333333333333333, "ud.propn": 0.3333333333333333}
offer	{"ud.noun": 0.3548387096774194, "ud.verb": 0.6451612903225806}
offered	{"ud.verb": 1.0}
offering	{"ud.verb": 0.8, "ud.noun": 0.2}
offers	{"ud.verb": 1.0}
office	{"ud.noun": 0.9069767441860465, "ud.propn": 0.09302325581395349}
officer	{"ud.noun": 0.8181818181818182, "ud.propn": 0.18181818181818182}
officers	{"ud.noun": 1.0}
offices	{"ud.noun": 0.9230769230769231, "ud.propn": 0.07692307692307693}
official	{"ud.adj": 0.631578947368421, "ud.noun": 0.3684210526315789}
officially	{"ud.adv": 1.0}
officials	{"ud.noun": 1.0}
offspring	{"ud.noun": 1.0}
often	{"ud.adv": 1.0}
oh	{"ud.intj": 0.9411764705882353, "ud.adv": 0.058823529411764705}
oil	{"ud.noun": 1.0}
ok	{"ud.intj": 0.3709677419354839, "ud.adj": 0.5645161290322581, "ud.adv": 0.04838709677419355, "ud.propn": 0.016129032258064516}
okay	{"ud.adj": 0.6153846153846154, "ud.intj": 0.38461538461538464}
okinawa	{"ud.propn": 1.0}
old	{"ud.adj": 0.9620253164556962, "ud.noun": 0.0379746835443038}
older	{"ud.adj": 1.0}
oldest	{"ud.adj": 1.0}
olds	{"ud.noun": 1.0}
ole	{"ud.adj": 0.6666666666666666, "ud.noun": 0.3333333333333333}
olympus	{"ud.propn": 1.0}
on	{"ud.adp": 0.9065200314218381, "ud.adv": 0.04006284367635507, "ud.sconj": 0.047918303220738416, "ud.noun": 0.0007855459544383347, "ud.x": 0.0007855459544383347, "ud.num": 0.0007855459544383347, "ud.adj": 0.002356637863315004, "ud.propn": 0.0007855459544383347}
onboard	{"ud.adv": 1.0}
once	{"ud.adv": 0.6133333333333333, "ud.sconj": 0.37333333333333335, "ud.noun": 0.013333333333333334}
one	{"ud.num": 0.7706611570247934, "ud.noun": 0.18181818181818182, "ud.pron": 0.045454545454545456, "ud.propn": 0.002066115702479339}
ones	{"ud.noun": 0.9722222222222222, "ud.verb": 0.027777777777777776}
ongoing	{"ud.adj": 1.0}
online	{"ud.propn": 0.14285714285714285, "ud.adj": 0.42857142857142855, "ud.noun": 0.19047619047619047, "ud.adv": 0.23809523809523808}
only	{"ud.adv": 0.79182156133829, "ud.adj": 0.20817843866171004}
ono	{"ud.propn": 1.0}
ontario	{"ud.propn": 1.0}
onto	{"ud.adp": 1.0}
open	{"ud.adj": 0.62, "ud.verb": 0.34, "ud.noun": 0.02, "ud.propn": 0.02}
opened	{"ud.verb": 1.0}
opening	{"ud.verb": 0.5833333333333334, "ud.noun": 0.3333333333333333, "ud.adj": 0.08333333333333333}
openly	{"ud.adv": 1.0}
opera	{"ud.propn": 1.0}
operate	{"ud.verb": 1.0}
operating	{"ud.verb": 0.4666666666666667, "ud.noun": 0.5333333333333333}
operation	{"ud.noun": 1.0}
operational	{"ud.adj": 1.0}
operations	{"ud.noun": 0.8947368421052632, "ud.propn": 0.10526315789473684}
operative	{"ud.noun": 1.0}
operator	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
opinion	{"ud.noun": 1.0}
opinions	{"ud.noun": 1.0}
opportunities	{"ud.noun": 1.0}
opportunity	{"ud.noun": 1.0}
oppose	{"ud.verb": 1.0}
opposed	{"ud.verb": 0.6666666666666666, "ud.adj": 0.3333333333333333}
opposite	{"ud.adj": 0.6666666666666666, "ud.noun": 0.3333333333333333}
option	{"ud.noun": 1.0}
optionality	{"ud.noun": 1.0}
options	{"ud.noun": 1.0}
or	{"ud.cconj": 0.9972067039106145, "ud.intj": 0.0013966480446927375, "ud.adp": 0.0013966480446927375}
oracle	{"ud.propn": 1.0}
orange	{"ud.adj": 0.25, "ud.propn": 0.5, "ud.noun": 0.25}
orbit	{"ud.noun": 1.0}
order	{"ud.propn": 0.039473684210526314, "ud.noun": 0.7105263157894737, "ud.verb": 0.25}
ordered	{"ud.verb": 1.0}
ordering	{"ud.verb": 0.5, "ud.noun": 0.5}
orders	{"ud.noun": 1.0}
oregon	{"ud.propn": 1.0}
