!	{"ud.punct": 1.0}
"	{"ud.punct": 0.9983351831298557, "ud.sym": 0.0011098779134295228, "ud.noun": 0.0005549389567147614}
krankenhaus	{"ud.noun": 1.0}
krankheit	{"ud.noun": 1.0}
krankheiten	{"ud.noun": 1.0}
kreative	{"ud.adj": 1.0}
kreativen	{"ud.adj": 1.0}
kreativität	{"ud.noun": 1.0}
krebs	{"ud.propn": 0.25, "ud.noun": 0.75}
kredite	{"ud.noun": 1.0}
kreis	{"ud.noun": 0.8076923076923077, "ud.propn": 0.19230769230769232}
kreise	{"ud.noun": 1.0}
kreisen	{"ud.noun": 0.8, "ud.verb": 0.2}
kreisstadt	{"ud.noun": 1.0}
kreistag	{"ud.noun": 1.0}
kreta	{"ud.propn": 1.0}
kreuz	{"ud.noun": 0.3125, "ud.propn": 0.6875}
kreuzern	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
kreuzung	{"ud.noun": 1.0}
krieg	{"ud.noun": 0.6176470588235294, "ud.propn": 0.38235294117647056}
kriege	{"ud.noun": 1.0}
krieges	{"ud.propn": 0.29411764705882354, "ud.noun": 0.7058823529411765}
kriegs	{"ud.noun": 1.0}
kriegsende	{"ud.noun": 1.0}
kriegsmarine	{"ud.noun": 1.0}
kriegsschiffe	{"ud.noun": 1.0}
kristallisiert	{"ud.verb": 1.0}
kristallsystem	{"ud.noun": 1.0}
kristina	{"ud.propn": 1.0}
kritik	{"ud.noun": 1.0}
kritiken	{"ud.noun": 1.0}
kritiker	{"ud.noun": 1.0}
kritisch	{"ud.adj": 1.0}
kritischen	{"ud.adj": 1.0}
kritisiert	{"ud.verb": 1.0}
kroaten	{"ud.noun": 1.0}
kroatien	{"ud.propn": 1.0}
kroatischen	{"ud.adj": 0.8, "ud.propn": 0.2}
krone	{"ud.noun": 1.0}
kronen	{"ud.propn": 0.75, "ud.noun": 0.25}
kronprinz	{"ud.noun": 0.8, "ud.propn": 0.2}
krug	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
kräfte	{"ud.noun": 1.0}
kräften	{"ud.noun": 1.0}
ks	{"ud.propn": 1.0}
kuba	{"ud.propn": 1.0}
kuchen	{"ud.noun": 1.0}
kuhn	{"ud.propn": 1.0}
kult	{"ud.noun": 1.0}
kultur	{"ud.noun": 0.75, "ud.propn": 0.25}
kulturelle	{"ud.adj": 0.8571428571428571, "ud.propn": 0.14285714285714285}
kulturellen	{"ud.adj": 1.0}
kulturen	{"ud.noun": 1.0}
kunde	{"ud.noun": 1.0}
kunden	{"ud.noun": 1.0}
kundenservice	{"ud.noun": 1.0}
kunigunde	{"ud.propn": 1.0}
kunst	{"ud.noun": 0.8387096774193549, "ud.propn": 0.16129032258064516}
kunstakademie	{"ud.propn": 0.8333333333333334, "ud.noun": 0.16666666666666666}
kunstgeschichte	{"ud.noun": 0.8, "ud.propn": 0.2}
kunststoff	{"ud.propn": 0.25, "ud.noun": 0.75}
kunstwerke	{"ud.noun": 1.0}
kupfer	{"ud.noun": 1.0}
kuppel	{"ud.noun": 1.0}
kurator	{"ud.noun": 1.0}
kurden	{"ud.noun": 1.0}
kurfürst	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
kurfürsten	{"ud.noun": 1.0}
kurse	{"ud.noun": 1.0}
kursk	{"ud.propn": 1.0}
kurt	{"ud.propn": 1.0}
kurz	{"ud.adv": 0.1388888888888889, "ud.adj": 0.8472222222222222, "ud.noun": 0.013888888888888888}
kurze	{"ud.adj": 1.0}
kurzem	{"ud.noun": 0.6, "ud.adj": 0.4}
kurzen	{"ud.adj": 1.0}
kurzer	{"ud.adj": 1.0}
kurzerhand	{"ud.adj": 0.25, "ud.adv": 0.75}
kurzes	{"ud.adj": 1.0}
kurzfilm	{"ud.propn": 0.25, "ud.noun": 0.75}
kurzgeschichte	{"ud.noun": 1.0}
kurzzeitig	{"ud.adj": 0.8571428571428571, "ud.adv": 0.14285714285714285}
kv	{"ud.propn": 0.5, "ud.noun": 0.5}
kw	{"ud.noun": 1.0}
kz	{"ud.propn": 0.4, "ud.noun": 0.6}
kämpfe	{"ud.noun": 1.0}
kämpfen	{"ud.verb": 0.5, "ud.noun": 0.5}
kämpfer	{"ud.noun": 1.0}
kämpft	{"ud.verb": 1.0}
kämpfte	{"ud.verb": 1.0}
kämpgen	{"ud.propn": 1.0}
köln	{"ud.propn": 1.0}
kölner	{"ud.adj": 0.5, "ud.propn": 0.5}
könig	{"ud.propn": 0.30303030303030304, "ud.noun": 0.696969696969697}
könige	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
königin	{"ud.propn": 0.16666666666666666, "ud.noun": 0.8333333333333334}
königlich	{"ud.propn": 0.25, "ud.adj": 0.75}
königliche	{"ud.propn": 0.42857142857142855, "ud.adj": 0.5714285714285714}
königlichen	{"ud.adj": 1.0}
königreich	{"ud.propn": 0.3888888888888889, "ud.noun": 0.6111111111111112}
königreichs	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
königs	{"ud.propn": 0.17647058823529413, "ud.noun": 0.8235294117647058}
königsberg	{"ud.propn": 1.0}
königshof	{"ud.noun": 1.0}
könne	{"ud.aux": 1.0}
können	{"ud.aux": 0.9939024390243902, "ud.verb": 0.006097560975609756}
könnte	{"ud.aux": 1.0}
könnten	{"ud.aux": 1.0}
körper	{"ud.noun": 1.0}
körperlich	{"ud.adv": 0.2, "ud.adj": 0.8}
körpers	{"ud.noun": 1.0}
körperverletzung	{"ud.noun": 1.0}
küche	{"ud.noun": 1.0}
küken	{"ud.noun": 1.0}
kümmern	{"ud.verb": 1.0}
kümmerte	{"ud.verb": 1.0}
kündigte	{"ud.verb": 1.0}
künftig	{"ud.adv": 0.25, "ud.adj": 0.75}
künftigen	{"ud.adj": 1.0}
künste	{"ud.noun": 0.4444444444444444, "ud.propn": 0.5555555555555556}
künstler	{"ud.noun": 0.9333333333333333, "ud.propn": 0.06666666666666667}
künstlerische	{"ud.adj": 1.0}
künstlerischen	{"ud.adj": 1.0}
künstlern	{"ud.noun": 1.0}
künstlichen	{"ud.adj": 1.0}
kürzlich	{"ud.adv": 0.8, "ud.adj": 0.2}
küste	{"ud.noun": 1.0}
küsten	{"ud.noun": 0.75, "ud.propn": 0.25}
kępa	{"ud.propn": 1.0}
l	{"ud.noun": 0.4166666666666667, "ud.propn": 0.4166666666666667, "ud.x": 0.16666666666666666}
l'	{"ud.propn": 1.0}
l.	{"ud.propn": 1.0}
la	{"ud.propn": 0.9824561403508771, "ud.x": 0.017543859649122806}
laabs	{"ud.propn": 1.0}
label	{"ud.propn": 0.2, "ud.noun": 0.8}
labor	{"ud.noun": 0.875, "ud.propn": 0.125}
laden	{"ud.noun": 0.967741935483871, "ud.verb": 0.03225806451612903}
ladung	{"ud.noun": 1.0}
lafontaine	{"ud.propn": 1.0}
lag	{"ud.verb": 1.0}
lage	{"ud.noun": 0.95, "ud.propn": 0.05}
lagen	{"ud.verb": 0.5714285714285714, "ud.noun": 0.42857142857142855}
lager	{"ud.noun": 1.0}
laien	{"ud.noun": 1.0}
lake	{"ud.propn": 1.0}
land	{"ud.noun": 0.8392857142857143, "ud.propn": 0.16071428571428573}
landbevölkerung	{"ud.noun": 1.0}
landen	{"ud.verb": 1.0}
landes	{"ud.noun": 1.0}
landesamt	{"ud.propn": 1.0}
landesbank	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
landesbibliothek	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
landeshauptstadt	{"ud.noun": 1.0}
landesliga	{"ud.noun": 1.0}
landete	{"ud.verb": 1.0}
landgemeinde	{"ud.noun": 1.0}
landgericht	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
landkreis	{"ud.noun": 0.9459459459459459, "ud.propn": 0.05405405405405406}
landkreises	{"ud.noun": 1.0}
landschaft	{"ud.noun": 0.9285714285714286, "ud.propn": 0.07142857142857142}
landstraße	{"ud.propn": 0.75, "ud.noun": 0.25}
landtag	{"ud.noun": 0.7272727272727273, "ud.propn": 0.2727272727272727}
landtages	{"ud.noun": 1.0}
landtagswahl	{"ud.noun": 1.0}
landwirtschaft	{"ud.propn": 0.3076923076923077, "ud.noun": 0.6923076923076923}
landwirtschaftlich	{"ud.adj": 0.7142857142857143, "ud.adv": 0.2857142857142857}
landwirtschaftliche	{"ud.adj": 1.0}
landwirtschaftlichen	{"ud.adj": 1.0}
lang	{"ud.adv": 0.0967741935483871, "ud.adj": 0.8225806451612904, "ud.adp": 0.03225806451612903, "ud.propn": 0.04838709677419355}
lange	{"ud.adv": 0.3, "ud.adj": 0.6333333333333333, "ud.propn": 0.06666666666666667}
langem	{"ud.adj": 0.75, "ud.noun": 0.25}
langen	{"ud.adj": 0.9333333333333333, "ud.propn": 0.06666666666666667}
langer	{"ud.adj": 1.0}
langjährigen	{"ud.adj": 1.0}
langsam	{"ud.adj": 1.0}
langsame	{"ud.adj": 1.0}
langsamer	{"ud.adj": 0.5, "ud.adv": 0.5}
lara	{"ud.propn": 1.0}
lars	{"ud.propn": 1.0}
las	{"ud.propn": 1.0}
lassen	{"ud.verb": 1.0}
last	{"ud.propn": 0.75, "ud.noun": 0.25}
lat.	{"ud.adj": 1.0}
lateinamerikanischer	{"ud.adj": 1.0}
lateinisch	{"ud.adj": 0.75, "ud.propn": 0.25}
lateinische	{"ud.adj": 0.6666666666666666, "ud.propn": 0.3333333333333333}
lateinischen	{"ud.adj": 0.75, "ud.noun": 0.25}
laubblätter	{"ud.noun": 1.0}
lauf	{"ud.noun": 1.0}
laufbahn	{"ud.noun": 1.0}
laufe	{"ud.noun": 1.0}
laufen	{"ud.verb": 1.0}
laufenden	{"ud.adj": 1.0}
laufzeit	{"ud.noun": 1.0}
laut	{"ud.adj": 0.1111111111111111, "ud.adp": 0.7777777777777778, "ud.adv": 0.05555555555555555, "ud.noun": 0.05555555555555555}
lauteren	{"ud.propn": 1.0}
lautet	{"ud.verb": 1.0}
lautete	{"ud.verb": 1.0}
le	{"ud.propn": 1.0}
league	{"ud.propn": 1.0}
leben	{"ud.noun": 0.759493670886076, "ud.verb": 0.189873417721519, "ud.propn": 0.05063291139240506}
lebende	{"ud.adj": 1.0}
lebenden	{"ud.adj": 1.0}
lebens	{"ud.noun": 1.0}
lebensjahr	{"ud.noun": 1.0}
lebensjahren	{"ud.noun": 1.0}
lebensraum	{"ud.noun": 1.0}
lebensweise	{"ud.noun": 1.0}
lebewesen	{"ud.noun": 1.0}
lebt	{"ud.verb": 1.0}
lebte	{"ud.verb": 1.0}
lebten	{"ud.verb": 0.9523809523809523, "ud.noun": 0.047619047619047616}
lebzeiten	{"ud.noun": 1.0}
lech	{"ud.propn": 1.0}
lecker	{"ud.adj": 0.9333333333333333, "ud.adv": 0.06666666666666667}
leckeres	{"ud.adj": 1.0}
lediglich	{"ud.adv": 0.9722222222222222, "ud.adj": 0.027777777777777776}
lee	{"ud.propn": 1.0}
leer	{"ud.adj": 0.625, "ud.propn": 0.25, "ud.adv": 0.125}
legen	{"ud.verb": 1.0}
legrand	{"ud.propn": 1.0}
legt	{"ud.verb": 1.0}
legte	{"ud.verb": 1.0}
lehen	{"ud.propn": 0.2, "ud.noun": 0.8}
lehnt	{"ud.verb": 1.0}
lehnte	{"ud.verb": 1.0}
lehrbetrieb	{"ud.noun": 1.0}
lehrbuch	{"ud.noun": 1.0}
lehre	{"ud.noun": 1.0}
lehren	{"ud.noun": 0.6, "ud.verb": 0.4}
lehrer	{"ud.noun": 1.0}
lehrerin	{"ud.noun": 1.0}
lehrerseminar	{"ud.noun": 1.0}
lehrstuhl	{"ud.noun": 1.0}
lehrt	{"ud.verb": 1.0}
lehrte	{"ud.verb": 1.0}
lehrtätigkeit	{"ud.noun": 1.0}
leichnam	{"ud.noun": 1.0}
leicht	{"ud.adv": 0.03333333333333333, "ud.adj": 0.9666666666666667}
leichtathletik	{"ud.noun": 1.0}
leichte	{"ud.propn": 0.25, "ud.adj": 0.75}
leichten	{"ud.adj": 1.0}
leichter	{"ud.adj": 1.0}
leiden	{"ud.noun": 0.4, "ud.verb": 0.2, "ud.propn": 0.4}
leidenschaft	{"ud.noun": 1.0}
leider	{"ud.adv": 1.0}
leidet	{"ud.verb": 1.0}
leipzig	{"ud.propn": 1.0}
leipziger	{"ud.propn": 1.0}
leise	{"ud.adj": 1.0}
leisten	{"ud.verb": 1.0}
leistete	{"ud.verb": 1.0}
leistung	{"ud.noun": 1.0}
leistungen	{"ud.noun": 1.0}
leistungs	{"ud.noun": 1.0}
leistungsfähigkeit	{"ud.noun": 1.0}
leistungsverhältnis	{"ud.noun": 1.0}
leiter	{"ud.noun": 0.96, "ud.propn": 0.04}
leitet	{"ud.verb": 1.0}
leitete	{"ud.verb": 1.0}
leitung	{"ud.noun": 1.0}
lektüre	{"ud.noun": 1.0}
lenin	{"ud.propn": 1.0}
lenkt	{"ud.verb": 1.0}
leo	{"ud.propn": 1.0}
leonard	{"ud.propn": 1.0}
leopard	{"ud.propn": 1.0}
leopold	{"ud.propn": 1.0}
lernen	{"ud.verb": 0.8, "ud.noun": 0.2}
lernte	{"ud.verb": 1.0}
les	{"ud.propn": 1.0}
leser	{"ud.noun": 1.0}
lesungen	{"ud.noun": 1.0}
letzte	{"ud.adj": 0.9411764705882353, "ud.propn": 0.058823529411764705}
letzten	{"ud.adj": 1.0}
letztendlich	{"ud.adv": 0.2857142857142857, "ud.adj": 0.7142857142857143}
letzter	{"ud.adj": 0.8888888888888888, "ud.noun": 0.1111111111111111}
letztere	{"ud.pron": 0.6666666666666666, "ud.det": 0.3333333333333333}
letzterem	{"ud.pron": 0.6666666666666666, "ud.noun": 0.3333333333333333}
letzteres	{"ud.pron": 1.0}
letztes	{"ud.adj": 1.0}
letztlich	{"ud.adv": 0.9090909090909091, "ud.adj": 0.09090909090909091}
leuchtturm	{"ud.noun": 1.0}
leukämie	{"ud.noun": 1.0}
leute	{"ud.noun": 1.0}
leuten	{"ud.noun": 1.0}
leutnant	{"ud.noun": 0.6, "ud.propn": 0.4}
lewis	{"ud.propn": 1.0}
li	{"ud.propn": 1.0}
libanon	{"ud.propn": 1.0}
liberalen	{"ud.noun": 0.2, "ud.propn": 0.4, "ud.adj": 0.4}
libyen	{"ud.propn": 1.0}
licht	{"ud.noun": 1.0}
liebe	{"ud.adj": 0.1, "ud.noun": 0.6, "ud.propn": 0.3}
lieben	{"ud.verb": 0.5714285714285714, "ud.adj": 0.2857142857142857, "ud.propn": 0.14285714285714285}
lieber	{"ud.adv": 1.0}
liebevoll	{"ud.adv": 0.6, "ud.adj": 0.4}
liebt	{"ud.verb": 1.0}
lied	{"ud.noun": 0.9090909090909091, "ud.propn": 0.09090909090909091}
lieder	{"ud.noun": 1.0}
lief	{"ud.verb": 1.0}
liefen	{"ud.verb": 1.0}
liefern	{"ud.verb": 1.0}
liefert	{"ud.verb": 1.0}
lieferte	{"ud.verb": 1.0}
lieferten	{"ud.verb": 1.0}
lieferung	{"ud.noun": 1.0}
liege	{"ud.verb": 1.0}
liegen	{"ud.verb": 1.0}
liegende	{"ud.adj": 1.0}
liegenden	{"ud.adj": 0.9166666666666666, "ud.noun": 0.08333333333333333}
liegt	{"ud.verb": 0.9931506849315068, "ud.noun": 0.00684931506849315}
ließ	{"ud.verb": 0.975, "ud.noun": 0.025}
ließen	{"ud.verb": 1.0}
life	{"ud.propn": 1.0}
liga	{"ud.noun": 0.6785714285714286, "ud.propn": 0.32142857142857145}
limousine	{"ud.noun": 1.0}
lincoln	{"ud.propn": 1.0}
linden	{"ud.propn": 1.0}
linearen	{"ud.adj": 1.0}
linie	{"ud.noun": 0.8846153846153846, "ud.propn": 0.11538461538461539}
linien	{"ud.noun": 1.0}
linke	{"ud.adj": 0.8, "ud.propn": 0.2}
linken	{"ud.adj": 0.7142857142857143, "ud.noun": 0.2857142857142857}
linker	{"ud.adj": 1.0}
links	{"ud.noun": 0.2, "ud.adv": 0.6, "ud.adp": 0.2}
linz	{"ud.propn": 1.0}
lipperhey	{"ud.propn": 1.0}
liste	{"ud.noun": 1.0}
liter	{"ud.noun": 1.0}
literarischen	{"ud.adj": 1.0}
literatur	{"ud.noun": 0.9666666666666667, "ud.propn": 0.03333333333333333}
literaturwissenschaft	{"ud.noun": 1.0}
little	{"ud.propn": 1.0}
live	{"ud.propn": 0.4444444444444444, "ud.adj": 0.3333333333333333, "ud.adv": 0.1111111111111111, "ud.x": 0.1111111111111111}
liverpool	{"ud.propn": 1.0}
lizenz	{"ud.noun": 1.0}
lkw	{"ud.noun": 1.0}
locker	{"ud.adj": 0.75, "ud.adv": 0.25}
lohmann	{"ud.propn": 1.0}
lohnt	{"ud.verb": 0.875, "ud.noun": 0.125}
lokal	{"ud.noun": 0.875, "ud.adj": 0.125}
lokale	{"ud.propn": 0.14285714285714285, "ud.adj": 0.8571428571428571}
lokalen	{"ud.adj": 1.0}
lokomotive	{"ud.noun": 1.0}
lokomotiven	{"ud.noun": 1.0}
london	{"ud.propn": 1.0}
londoner	{"ud.adj": 0.4, "ud.propn": 0.6}
lorenz	{"ud.propn": 1.0}
los	{"ud.adv": 0.38461538461538464, "ud.propn": 0.5384615384615384, "ud.noun": 0.07692307692307693}
losen	{"ud.adj": 1.0}
lost	{"ud.propn": 1.0}
lothar	{"ud.propn": 1.0}
lothringen	{"ud.propn": 1.0}
lotus	{"ud.propn": 1.0}
lou	{"ud.propn": 1.0}
louis	{"ud.propn": 1.0}
love	{"ud.propn": 1.0}
lu	{"ud.propn": 1.0}
ludwig	{"ud.propn": 1.0}
ludwigshafen	{"ud.propn": 1.0}
luft	{"ud.noun": 0.8, "ud.propn": 0.2}
luftangriffen	{"ud.noun": 1.0}
luftstreitkräfte	{"ud.noun": 1.0}
luftwaffe	{"ud.noun": 1.0}
luise	{"ud.propn": 1.0}
lustenau	{"ud.propn": 1.0}
luther	{"ud.propn": 1.0}
lutherische	{"ud.adj": 1.0}
lutherischen	{"ud.propn": 0.3333333333333333, "ud.noun": 0.3333333333333333, "ud.adj": 0.3333333333333333}
luxemburg	{"ud.propn": 1.0}
luxus	{"ud.noun": 1.0}
luzerner	{"ud.adj": 0.3333333333333333, "ud.noun": 0.3333333333333333, "ud.propn": 0.3333333333333333}
lädt	{"ud.verb": 1.0}
länder	{"ud.noun": 1.0}
ländereien	{"ud.noun": 1.0}
ländern	{"ud.noun": 1.0}
ländlichen	{"ud.adj": 1.0}
länge	{"ud.noun": 0.9736842105263158, "ud.adj": 0.02631578947368421}
längen	{"ud.noun": 1.0}
länger	{"ud.adv": 0.2222222222222222, "ud.adj": 0.7777777777777778}
längere	{"ud.adj": 1.0}
längeren	{"ud.adj": 1.0}
längs	{"ud.adp": 0.3333333333333333, "ud.adv": 0.3333333333333333, "ud.noun": 0.3333333333333333}
lässt	{"ud.verb": 1.0}
läuft	{"ud.verb": 1.0}
läßt	{"ud.verb": 1.0}
lösen	{"ud.verb": 0.8333333333333334, "ud.noun": 0.16666666666666666}
löst	{"ud.verb": 1.0}
löste	{"ud.verb": 1.0}
lösten	{"ud.verb": 1.0}
lösung	{"ud.noun": 1.0}
löwen	{"ud.noun": 1.0}
lübeck	{"ud.propn": 1.0}
lübecker	{"ud.propn": 1.0}
lücken	{"ud.noun": 1.0}
lüdinghausen	{"ud.propn": 1.0}
lüneburg	{"ud.propn": 1.0}
lüneburger	{"ud.propn": 0.6666666666666666, "ud.adj": 0.3333333333333333}
lüthold	{"ud.propn": 1.0}
lý	{"ud.propn": 1.0}
m	{"ud.noun": 0.9662921348314607, "ud.propn": 0.033707865168539325}
m.	{"ud.propn": 1.0}
ma	{"ud.adp": 0.25, "ud.propn": 0.5, "ud.pron": 0.25}
mac	{"ud.propn": 1.0}
machen	{"ud.verb": 0.9818181818181818, "ud.propn": 0.01818181818181818}
macht	{"ud.verb": 0.8095238095238095, "ud.noun": 0.19047619047619047}
machte	{"ud.verb": 1.0}
machten	{"ud.verb": 1.0}
machtübernahme	{"ud.noun": 1.0}
madame	{"ud.propn": 0.6666666666666666, "ud.noun": 0.3333333333333333}
madrid	{"ud.propn": 1.0}
mag	{"ud.aux": 0.42857142857142855, "ud.noun": 0.5714285714285714}
magazin	{"ud.noun": 1.0}
magdeburg	{"ud.propn": 1.0}
magischen	{"ud.adj": 1.0}
magnus	{"ud.propn": 1.0}
mai	{"ud.propn": 1.0}
mail	{"ud.noun": 1.0}
mailand	{"ud.propn": 1.0}
main	{"ud.propn": 1.0}
mainz	{"ud.propn": 1.0}
mainzer	{"ud.adj": 0.2, "ud.propn": 0.8}
maja	{"ud.propn": 1.0}
major	{"ud.propn": 0.2, "ud.noun": 0.8}
mal	{"ud.noun": 0.5869565217391305, "ud.adv": 0.3695652173913043, "ud.adj": 0.03260869565217391, "ud.adp": 0.010869565217391304}
male	{"ud.noun": 0.75, "ud.propn": 0.125, "ud.adj": 0.125}
malen	{"ud.verb": 0.3333333333333333, "ud.noun": 0.6666666666666666}
maler	{"ud.noun": 1.0}
malerei	{"ud.noun": 1.0}
malers	{"ud.noun": 1.0}
malmö	{"ud.propn": 1.0}
malte	{"ud.verb": 1.0}
man	{"ud.pron": 0.9968944099378882, "ud.propn": 0.003105590062111801}
management	{"ud.noun": 0.625, "ud.propn": 0.375}
manager	{"ud.noun": 0.8, "ud.propn": 0.2}
manche	{"ud.det": 0.15384615384615385, "ud.pron": 0.8461538461538461}
manchen	{"ud.det": 0.2857142857142857, "ud.pron": 0.7142857142857143}
manchmal	{"ud.adv": 1.0}
mandanten	{"ud.noun": 1.0}
mandat	{"ud.noun": 1.0}
manfred	{"ud.propn": 1.0}
manga	{"ud.noun": 0.3333333333333333, "ud.propn": 0.6666666666666666}
mangel	{"ud.noun": 1.0}
manhattan	{"ud.propn": 1.0}
mann	{"ud.noun": 0.92, "ud.propn": 0.08}
mannes	{"ud.noun": 1.0}
mannheim	{"ud.propn": 1.0}
mannheimer	{"ud.propn": 1.0}
mannschaft	{"ud.noun": 1.0}
mannschaften	{"ud.noun": 1.0}
mannschaftskapitän	{"ud.noun": 1.0}
mans	{"ud.propn": 1.0}
manuell	{"ud.adj": 1.0}
maps	{"ud.propn": 1.0}
marathon	{"ud.noun": 0.7142857142857143, "ud.propn": 0.2857142857142857}
marburg	{"ud.propn": 1.0}
marcus	{"ud.propn": 1.0}
margareta	{"ud.propn": 1.0}
margarethe	{"ud.propn": 1.0}
maria	{"ud.propn": 1.0}
marie	{"ud.propn": 1.0}
marina	{"ud.propn": 0.6666666666666666, "ud.noun": 0.3333333333333333}
marine	{"ud.noun": 0.875, "ud.propn": 0.125}
mario	{"ud.propn": 1.0}
marion	{"ud.propn": 1.0}
marius	{"ud.propn": 1.0}
mark	{"ud.propn": 0.9655172413793104, "ud.noun": 0.034482758620689655}
markanten	{"ud.adj": 1.0}
marke	{"ud.noun": 1.0}
marken	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
markenzeichen	{"ud.noun": 1.0}
marketing	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
markiert	{"ud.verb": 0.75, "ud.adj": 0.25}
markt	{"ud.noun": 0.7142857142857143, "ud.propn": 0.2857142857142857}
marktwirtschaft	{"ud.noun": 0.4, "ud.propn": 0.6}
markus	{"ud.propn": 1.0}
marokko	{"ud.propn": 1.0}
marsch	{"ud.propn": 0.6666666666666666, "ud.noun": 0.3333333333333333}
martin	{"ud.propn": 1.0}
martina	{"ud.propn": 1.0}
martinskirche	{"ud.propn": 1.0}
marx	{"ud.propn": 1.0}
mary	{"ud.propn": 1.0}
maschine	{"ud.noun": 1.0}
maschinen	{"ud.noun": 1.0}
maschinenbau	{"ud.noun": 0.6, "ud.propn": 0.4}
massachusetts	{"ud.propn": 1.0}
massage	{"ud.noun": 1.0}
masse	{"ud.noun": 0.75, "ud.propn": 0.25}
massen	{"ud.noun": 1.0}
massiv	{"ud.noun": 0.6666666666666666, "ud.adj": 0.16666666666666666, "ud.propn": 0.16666666666666666}
massive	{"ud.adj": 1.0}
massiven	{"ud.adj": 0.8333333333333334, "ud.noun": 0.16666666666666666}
master	{"ud.propn": 0.6, "ud.noun": 0.4}
material	{"ud.noun": 1.0}
materialien	{"ud.noun": 1.0}
materielle	{"ud.adj": 1.0}
mathematik	{"ud.noun": 1.0}
mathematisch	{"ud.adj": 1.0}
mathias	{"ud.propn": 1.0}
matrix	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
matt	{"ud.propn": 0.6666666666666666, "ud.adj": 0.3333333333333333}
matthias	{"ud.propn": 1.0}
matthäus	{"ud.propn": 1.0}
mauer	{"ud.noun": 0.8571428571428571, "ud.propn": 0.14285714285714285}
mauern	{"ud.noun": 1.0}
maurice	{"ud.propn": 1.0}
max	{"ud.propn": 1.0}
maximal	{"ud.adv": 0.42857142857142855, "ud.adj": 0.5714285714285714}
maximale	{"ud.adj": 1.0}
maximalen	{"ud.adj": 1.0}
maximilian	{"ud.propn": 1.0}
maß	{"ud.noun": 0.75, "ud.verb": 0.25}
maße	{"ud.noun": 1.0}
maßgeblich	{"ud.adj": 1.0}
maßnahme	{"ud.noun": 0.75, "ud.propn": 0.25}
maßnahmen	{"ud.noun": 1.0}
maßstäbe	{"ud.noun": 1.0}
mechanische	{"ud.adj": 1.0}
mecklenburg	{"ud.propn": 1.0}
mecklenburgisch	{"ud.adj": 0.3333333333333333, "ud.propn": 0.6666666666666666}
medaille	{"ud.noun": 1.0}
medaillen	{"ud.noun": 1.0}
media	{"ud.propn": 1.0}
medical	{"ud.propn": 1.0}
medien	{"ud.propn": 0.125, "ud.noun": 0.875}
medikamente	{"ud.noun": 1.0}
medizin	{"ud.noun": 1.0}
mediziner	{"ud.noun": 1.0}
medizinische	{"ud.adj": 0.8333333333333334, "ud.propn": 0.16666666666666666}
medizinischen	{"ud.adj": 0.8, "ud.propn": 0.2}
meer	{"ud.noun": 0.55, "ud.propn": 0.45}
meeresspiegel	{"ud.noun": 1.0}
mehr	{"ud.adv": 0.8451882845188284, "ud.pron": 0.14225941422594143, "ud.det": 0.012552301255230125}
mehrere	{"ud.pron": 0.9764705882352941, "ud.adv": 0.011764705882352941, "ud.det": 0.011764705882352941}
mehreren	{"ud.pron": 1.0}
mehrerer	{"ud.pron": 0.875, "ud.det": 0.125}
mehrfach	{"ud.adv": 0.3333333333333333, "ud.adj": 0.6666666666666666}
mehrheit	{"ud.noun": 1.0}
mehrheitlich	{"ud.adv": 0.3333333333333333, "ud.adj": 0.6666666666666666}
mehrmals	{"ud.adv": 1.0}
mehrzahl	{"ud.noun": 1.0}
meile	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
meilen	{"ud.noun": 1.0}
mein	{"ud.pron": 0.8064516129032258, "ud.det": 0.06451612903225806, "ud.propn": 0.12903225806451613}
meine	{"ud.pron": 0.8571428571428571, "ud.det": 0.09523809523809523, "ud.propn": 0.047619047619047616}
meinem	{"ud.pron": 0.9411764705882353, "ud.det": 0.058823529411764705}
meinen	{"ud.pron": 0.8333333333333334, "ud.det": 0.08333333333333333, "ud.noun": 0.08333333333333333}
meiner	{"ud.pron": 0.8333333333333334, "ud.det": 0.16666666666666666}
meint	{"ud.verb": 1.0}
meinte	{"ud.verb": 1.0}
meinung	{"ud.noun": 1.0}
meist	{"ud.adv": 1.0}
meisten	{"ud.det": 0.7058823529411765, "ud.pron": 0.27450980392156865, "ud.adv": 0.0196078431372549}
meistens	{"ud.adv": 1.0}
meister	{"ud.noun": 0.7391304347826086, "ud.propn": 0.2608695652173913}
meisterschaft	{"ud.noun": 0.9259259259259259, "ud.propn": 0.07407407407407407}
meisterschaften	{"ud.noun": 1.0}
